"ID (например kin.01, mkt.03)",Экзамен (ЕГЭ / ОГЭ / ЕГЭ+ОГЭ),Раздел,Тема,Подтема,Название формулы,Подсказка для сборки,Формула (LaTeX),Формула (текст),Переменные (символ — название — единица),Физический смысл (для блока «Как рассуждать»),Зависимости (прямая / обратная),Размерности,Откуда выводится,Когда применять (Layer 1 — ситуации),Частые ошибки / ловушки,Связанные формулы (ID через запятую — для дистракторов),Сложность (1 / 2 / 3),Мутации Layer 3 (тип; неверный LaTeX; подсказка),Рецепт сборки (числитель | знаменатель),Источник (sokrat / egor / elena),Автор,Ревью,Статус (draft / review / ready),Комментарии
kin.18,ЕГЭ,Механика,Кинематика,Вращение по окружности,Определение угловой скорости,Угловая скорость через угол поворота и время,$\omega=\frac{\phi}{t}$,ω = φ / t,"ω — угловая скорость (рад/с)
φ — угол поворота (рад)
t — время (с)","Угловая скорость показывает, на какой угол тело поворачивается за единицу времени. Чем больший угол пройден за то же время, тем больше ω.","прямая: φ → ω
обратная: t → ω",[1/T] = [1] / [T],Определение угловой скорости,"• Известен угол поворота за некоторое время
• Нужно перейти от геометрии вращения к кинематике
• Задачи, где удобно считать вращение в радианах","• Путают ω с линейной скоростью v
• Используют градусы вместо радиан без перевода
• Ставят время в числитель вместо знаменателя","kin.17, kin.19, kin.20",1,"swap_fraction; \omega = \frac{t}{\phi}; Угловая скорость равна углу поворота за время, а не времени на угол.
swap_variable; \omega = \phi \cdot t; При фиксированном угле большему времени соответствует меньшая угловая скорость.",numerator: \phi | denominator: t,egor,Egor,,review,Заполнено для тренажёра формул; нужна педпроверка.
kin.19,ЕГЭ,Механика,Кинематика,Вращение по окружности,Связь угловой скорости и периода вращения,Связь угловой скорости и периода вращения,$\omega=\frac{2\pi}{T}$,ω = 2π / T,"ω — угловая скорость (рад/с)
T — период вращения (с)","За один полный оборот тело поворачивается на угол 2π рад. Поэтому угловая скорость равна 2π, делённым на время одного оборота.",обратная: T → ω,[1/T] = [1] / [T],Из определения угловой скорости: за один оборот φ = 2π,"• Дано время одного оборота
• Нужно найти угловую скорость вращения
• Переход от периода к угловым величинам","• Забывают множитель 2π
• Путают с формулой ν = 1/T
• Подставляют число оборотов вместо периода одного оборота","kin.14, kin.15, kin.18, kin.20, kin.22",2,"drop_coefficient; \omega = \frac{1}{T}; За один оборот тело проходит угол 2π рад, поэтому множитель 2π обязателен.
swap_fraction; \omega = \frac{T}{2\pi}; При увеличении периода угловая скорость уменьшается, значит T должно быть в знаменателе.",numerator: 2\pi | denominator: T,egor,Egor,,review,Заполнено для тренажёра формул; нужна педпроверка.
kin.20,ЕГЭ,Механика,Кинематика,Вращение по окружности,Связь линейной и угловой скорости,Связь линейной и угловой скорости,$v=\omega R$,v = ωR,"v — линейная скорость (м/с)
ω — угловая скорость (рад/с)
R — радиус окружности (м)","Линейная скорость точки на окружности тем больше, чем быстрее растёт угол поворота и чем дальше точка находится от оси вращения.","прямая: ω → v, R → v",[L/T] = [1/T] * [L],Следствие из формул v = l/t и φ = l/R,"• Известна угловая скорость и радиус
• Нужно найти скорость точки на ободе
• Переход между угловыми и линейными величинами","• Путают формулы v = ωR и a_цс = ω²R
• Забывают, что скорость зависит от радиуса
• Ставят R в знаменатель вместо умножения","kin.16, kin.18, kin.19, kin.21, kin.22",2,"swap_variable; v = \frac{\omega}{R}; Чем больше радиус при той же угловой скорости, тем больше линейная скорость, поэтому R должно умножаться.
wrong_power; v = \omega R^2; Линейная скорость растёт пропорционально радиусу, а не квадрату радиуса.","numerator: \omega, R | denominator: ",egor,Egor,,review,Заполнено для тренажёра формул; нужна педпроверка.
kin.21,ЕГЭ,Механика,Кинематика,Вращение по окружности,Центростремительное ускорение (через линейную скорость),Центростремительное ускорение через линейную скорость,$a_{цс} = \frac{v^2}{R}$,a_цс = v² / R,"a_цс — центростремительное ускорение (м/с²)
v — линейная скорость (м/с)
R — радиус окружности (м)","Центростремительное ускорение направлено к центру окружности и отвечает за изменение направления скорости. При большей скорости оно быстро растёт, а при большем радиусе уменьшается.","прямая: v² → a_цс
обратная: R → a_цс (при фиксированном v)",[L/T²] = [L²/T²] / [L],Геометрический вывод из изменения вектора скорости,"• Движение по окружности с известной линейной скоростью
• Нужно найти ускорение при вращении
• Связь с центростремительной силой F = ma_цс","• Теряют квадрат скорости и пишут v/R
• Путают радиус и период
• Считают, что ускорение направлено по касательной, а не к центру","kin.16, kin.20, kin.22",2,"wrong_power; a_{цс} = \frac{v}{R}; Центростремительное ускорение зависит от квадрата линейной скорости.
swap_variable; a_{цс} = \frac{v^2}{T}; В этой формуле нужен радиус окружности, а не период вращения.",numerator: v^2 | denominator: R,egor,Egor,,review,Заполнено для тренажёра формул; нужна педпроверка.
kin.22,ЕГЭ,Механика,Кинематика,Вращение по окружности,Центростремительное ускорение (через угловую скорость),Центростремительное ускорение через угловую скорость,$a_{цс}=\omega^2R$,a_цс = ω²R,"a_цс — центростремительное ускорение (м/с²)
ω — угловая скорость (рад/с)
R — радиус окружности (м)","Та же центростремительная ускоренность можно выразить через угловую скорость. Чем быстрее вращение и чем дальше точка от оси, тем больше ускорение к центру.","прямая: ω² → a_цс, R → a_цс",[L/T²] = [1/T²] * [L],Следствие из связей v = ωR и a_цс = v^2/R,"• Известна угловая скорость вращения
• Нужно найти ускорение точки на окружности
• Удобно, когда в задаче нет линейной скорости, но есть ω или период","• Теряют квадрат угловой скорости и пишут ωR
• Путают эту формулу с v = ωR
• Считают, что при большем радиусе ускорение всегда меньше, хотя здесь при фиксированном ω оно больше","kin.18, kin.19, kin.20, kin.21",2,"wrong_power; a_{цс} = \omega R; Центростремительное ускорение зависит от квадрата угловой скорости.
swap_variable; a_{цс} = \frac{\omega^2}{R}; При фиксированной угловой скорости увеличение радиуса увеличивает ускорение, поэтому R должно быть в числителе.","numerator: \omega^2, R | denominator: ",egor,Egor,,review,Заполнено для тренажёра формул; нужна педпроверка.
kin.23,ЕГЭ,Механика,Кинематика,Движение по параболе,Проекция скорости на горизонтальную ось (горизонтальный бросок),,$v_x= v_o$,,,"$v_x$ - проекция скорости тела на горизонтальную ось
$v_o$ - модуль начальной скорости тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.24,ЕГЭ,Механика,Кинематика,Движение по параболе,Проекция скорости на вертикальную ось (горизонтальный бросок),,$v_y=-gt$,,,"$v_y$ - проекция скорости тела на вертикальную ось
$g$ - модуль ускорения свободного падения
$t$ - время движения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.25,ЕГЭ,Механика,Кинематика,Движение по параболе,Полная скорость тела (горизонтальный бросок или бросок под углом к горизонту),,$v=\sqrt{v_x^2+v_y^2}$,,,"$v$ - полная скорость тела
$v_x$ - проекция скорости тела на горизонтальную ось
$v_y$ - проекция скорости тела на вертикальную ось",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.26,ЕГЭ,Механика,Кинематика,Движение по параболе,Тангенс угла наклона полной скорости к горизонту (горизонтальный бросок или бросок под углом к горизонту),,$\tg(\beta)=\frac{|v_y|}{v_x}$,,,"$\beta$ - угол наклона полной скорости к горизонту в произвольный момент времени
$v_y$ - проекция скорости тела на вертикальную ось
$v_x$ - проекция скорости тела на горизонтальную ось",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.27,ЕГЭ,Механика,Кинематика,Движение по параболе,Зависимость горизонтальной координаты от времени (горизонтальный бросок),,$x=x_о+ v_o t$,,,"$x$ - горизонтальная координата тела
$x_о$ - начальная горизонтальная координата тела
$v_o$ - модуль начальной скорости тела
$t$ - время движения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.28,ЕГЭ,Механика,Кинематика,Движение по параболе,Зависимость вертикальной координаты от времени (горизонтальный бросок),,$y=y_о-\frac{gt^2}{2}$,,,"$y$ - вертикальная координата тела
$y_о$ - начальная вертикальная координата тела
$t$ - время движения тела
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.29,ЕГЭ,Механика,Кинематика,Движение по параболе,"Время полёта (горизонтальный бросок с высоты $H$, помнить с выводом)",,$T=\sqrt{\frac{2H}{g}}$,,,"Выводится из формулы вертикальной координаты, учитывая что в начале полёта вертикальная координата $y=0$, а в конце $y=-H$:
$$y=-\frac{gT^2}{2}=-H$$$$T=\sqrt{\frac{2H}{g}}$$$T$ - время полёта тела
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.30,ЕГЭ,Механика,Кинематика,Движение по параболе,"Дальность полёта (горизонтальный бросок с высоты $H$, помнить с выводом)",,$L= v_o \sqrt{\frac{2H}{g}}$,,,"Выводится из формулы горизонтальной координаты, учитывая что в конце полёта она равна дальности полёта: $x=L$
$$L=v_oT=v_o\sqrt{\frac{2H}{g}}$$ $T$ - время полёта тела (тоже нужно будет привести формулу для времени с полным выводом)
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.31,ЕГЭ,Механика,Кинематика,Движение по параболе,Проекция скорости на горизонтальную ось (бросок под углом к горизонту),,$v_x= v_o \cos(α)$,,,"$v_x$ - проекция скорости тела на горизонтальную ось
$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.32,ЕГЭ,Механика,Кинематика,Движение по параболе,Проекция скорости на вертикальную ось (бросок под углом к горизонту),,$v_y= v_o \sin(α)-gt$,,,"$v_y$ - проекция скорости тела на вертикальную ось
$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$g$ - модуль ускорения свободного падения
$t$ - время движения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.33,ЕГЭ,Механика,Кинематика,Движение по параболе,Зависимость горизонтальной координаты от времени (бросок под углом к горизонту),,$x=x_о+ v_o \cos(α)t$,,,"$x$ - горизонтальная координата тела
$x_о$ - начальная горизонтальная координата тела
$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$t$ - время движения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.34,ЕГЭ,Механика,Кинематика,Движение по параболе,Зависимость вертикальной координаты от времени (бросок под углом к горизонту),,$y=y_о+ v_o \sin(α)t-\frac{gt^2}{2}$,,,"$y$ - вертикальная координата тела
$y_о$ - начальная вертикальная координата тела
$v_о$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$t$ - время движения тела
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.35,ЕГЭ,Механика,Кинематика,Движение по параболе,Скорость в верхней точке траектории (бросок под углом к горизонту),,"$v_{верхн}=v_x= v_o \cos(α);$
$ v_y=0\;(м/с)$",,,"$v_{верхн}$ - скорость в верхней точке траектории
$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.36,ЕГЭ,Механика,Кинематика,Движение по параболе,"Время подъёма на максимальную высоту (бросок под углом к горизонту, помнить с выводом)",,$t_{под}=\frac{v_o \sin(α)}{g}$,,,"Выводится из формулы проекции скорости на вертикальную ось, учитывая что в верхней точке траектории $v_y=0\;(м/с):$
$$v_y= v_o \sin(α)-gt_{под}=0$$$$t_{под}=\frac{v_o sin(α)}{g}$$$t_{под}$ - время подъёма на максимальную высоту
$v_y$ - проекция скорости тела на вертикальную ось
$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$g$ - модуль ускорения свободного падения
$t$ - время движения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.37,ЕГЭ,Механика,Кинематика,Движение по параболе,"Время полёта (бросок под углом к горизонту, помнить с выводом)",,$T=\frac{2v_o \sin(α)}{g}$,,,"Выводится из формулы вертикальной координаты, учитывая что в начале и конце полёта $y=0\;(м):$
$$y= v_o \sin(α)T-\frac{gT^2}{2}=0$$$$T(v_o \sin(α)-\frac{gT}{2})=0$$Это уравнение имеет 2 корня: $T=0$ (соответствует начальной точке полёта) и $$T=\frac{2v_o \sin(α)}{g}\text{ (интересующее нас время полёта).}$$$y$ - вертикальная координата тела
$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.38,ЕГЭ,Механика,Кинематика,Движение по параболе,"Дальность полёта (бросок под углом к горизонту, помнить с выводом)",,$L=\frac{v_o^2 \sin(2α)}{g}$,,,"Дальность полёта $L$ – это горизонтальная координата тела в момент времени, соответствующий полному времени полёта $T$  (которое тоже нужно приводить в такой задаче с выводом):
$$L= v_o \cos(α) T=\frac{v_o^2 2\sin(α) \cos(α)}{g}=\frac{v_o^2 \sin(2α)}{g}$$$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.39,ЕГЭ,Механика,Кинематика,Движение по параболе,"Максимальная высота подъема (бросок под углом к горизонту, помнить с выводом)",,$H=\frac{v_o^2 \sin^2(α)}{2g}$,,,"Максимальная высота подъема $H$ – это проекция перемещения на вертикальную ось от начала полёта до верхней точки траектории, в которой проекция скорости на вертикальную ось $v_y=0 \;(м/с)$:
$$H=\frac{v_y^2-v_{oy}^2}{2a_y}=\frac{0^2-(v_o \sin(α))^2}{-2g}=\frac{v_o^2 \sin^2(α)}{2g}$$$v_o$ - модуль начальной скорости тела
$α$ - угол к горизонту, под которым брошено тело
$g$ - модуль ускорения свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.40,ОГЭ,Механика,Кинематика,Кинематика (общая),Проекция скорости равномерного движения,,$\upsilon_{x}=\frac{x-x_{0}}{t}$,,,"$\upsilon_{x}$ - проекция скорости
$x$ - конечная координата
$x_{0}$ - начальная координата
$t$ - прошедшее время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.41,ОГЭ,Механика,Кинематика,Кинематика (общая),Средняя путевая скорость,,$\upsilon=\frac{l}{t}$,,,"$l$ - весь путь, пройденный телом
$t$ - всё время движения (включая остановки)",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.42,ОГЭ,Механика,Кинематика,Кинематика (общая),Проекция перемещения,,$S_{x}=x-x_{0}$,,,"$S_{x}$ - проекция перемещения
$x$ - конечная координата
$x_{0}$ - начальная координата",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.43,ОГЭ,Механика,Кинематика,Кинематика (общая),Координата от времени при равномерном движении,,$x=x_{0}+\upsilon_{x}t$,,,"$x$ - конечная координата
$x_{0}$ - начальная координата
$\upsilon_{x}$ - проекция скорости
$t$ - прошедшее время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.44,ОГЭ,Механика,Кинематика,Кинематика (общая),Условие встречи двух тел,,"$$    \begin{cases}
      x_1=x_2; \\
      y_1=y_2
       
    \end{cases}
$$",,,"$x_1$ - координата $x$ первого тела в момент встречи
$x_2$ - координата $x$ второго тела в момент встречи
$y_1$ - координата $y$ первого тела в момент встречи
$y_2$ - координата $y$ второго тела в момент встречи",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.45,ОГЭ,Механика,Кинематика,Кинематика (общая),Относительная скорость при движении в одном направлении,,$\upsilon_{отн}=\upsilon_{1}-\upsilon_{2}$,,,"$\upsilon_{отн}$ - относительная скорость движения первого тела относительно второго
$\upsilon_{1}$ - скорость первого тела относительно Земли
$\upsilon_{2}$ - скорость второго тела относительно Земли",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.46,ОГЭ,Механика,Кинематика,Кинематика (общая),Относительная скорость при движении в противоположных направлениях,,$\upsilon_{отн}=\upsilon_{1}+\upsilon_{2}$,,,"$\upsilon_{отн}$ - относительная скорость движения первого тела относительно второго
$\upsilon_{1}$ - скорость первого тела относительно Земли
$\upsilon_{2}$ - скорость второго тела относительно Земли",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.47,ОГЭ,Механика,Кинематика,Кинематика (общая),Проекция ускорения тела,,$a_{x}=\frac{\upsilon_{x}-\upsilon_{оx}}{t}$,,,"$a_{x}$ - проекция ускорения тела
$\upsilon_{x}$ - проекция конечной скорости
$\upsilon_{оx}$ - проекция начальной скорости
$t$ - прошедшее время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.48,ОГЭ,Механика,Кинематика,Кинематика (общая),Проекция скорости от времени при равноускоренном движении,,$\upsilon_{x}=\upsilon_{оx}+a_{x}t$,,,"$\upsilon_{x}$ - проекция конечной скорости
$\upsilon_{оx}$ - проекция начальной скорости
$a_{x}$ - проекция ускорения тела
$t$ - прошедшее время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.49,ОГЭ,Механика,Кинематика,Кинематика (общая),Проекция перемещения (без конечной скорости),,$S_{x}=\upsilon_{оx}t+\frac{a_{x}t^2}{2}$,,,"$S_{x}$ - проекция перемещения тела
$\upsilon_{оx}$ - проекция начальной скорости
$t$ - прошедшее время
$a_{x}$ - проекция ускорения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.50,ОГЭ,Механика,Кинематика,Кинематика (общая),Проекция перемещения (без времени),,$S_{x}=\frac{\upsilon_{x}^2-\upsilon_{оx}^2}{2a_{x}}$,,,"$S_{x}$ - проекция перемещения тела
$\upsilon_{x}$ - проекция конечной скорости
$\upsilon_{оx}$ - проекция начальной скорости
$a_{x}$ - проекция ускорения тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.51,ОГЭ,Механика,Кинематика,Кинематика (общая),Координата равноускоренного движения,,$x(t) = x_о + v_{оx} t + \frac{a_x t^2}{2}$,,,"$x$ — координата в момент времени $t$
$x_о$ — начальная координата
$v_{оx}$ — проекция начальной скорости
$a_x$ — проекция ускорения
$t$ — время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.52,ОГЭ,Механика,Кинематика,Кинематика (общая),Линейная скорость при вращении,,$v=\frac{2\pi R}{T}$,,,"$v$ - линейная скорость
$R$ - радиус окружности
$T$ - период вращения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.53,ОГЭ,Механика,Кинематика,Кинематика (общая),Период вращения,,$T=\frac{t}{N}$,,,"$t$ - время $N$ полных оборотов
$N$ - количество оборотов",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.54,ОГЭ,Механика,Кинематика,Кинематика (общая),Частота вращения,,$\nu=\frac{N}{t}$,,,"$t$ - время $N$ полных оборотов
$N$ - количество оборотов",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.55,ОГЭ,Механика,Кинематика,Кинематика (общая),Центростремительное ускорение,,$a_{цс} = \frac{v^2}{R}$,,,"$a_{цс}$ — центростремительное ускорение
$v$ — линейная скорость
$R$ — радиус окружности",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.56,ОГЭ,Механика,Кинематика,Кинематика (общая),Связь частоты и периода вращения,,$\nu=\frac{1}{T}$,,,"$\nu$ - частота вращения
$T$ - период вращения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.57,ЕГЭ,Механика,Кинематика,Прямолинейное движение,Проекция скорости равномерного движения,,$\upsilon_{x}=\frac{x-x_{0}}{t}$,,,"$\upsilon_{x}$ - проекция скорости
$x$ - конечная координата
$x_{0}$ - начальная координата
$t$ - прошедшее время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.58,ЕГЭ,Механика,Кинематика,Прямолинейное движение,Средняя путевая скорость,,$\upsilon=\frac{l}{t}$,,,"$l$ - весь путь, пройденный телом
$t$ - всё время движения (включая остановки)",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.59,ЕГЭ,Механика,Кинематика,Прямолинейное движение,Проекция перемещения,,$S_{x}=x-x_{0}$,,,"$S_{x}$ - проекция перемещения
$x$ - конечная координата
$x_{0}$ - начальная координата",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.60,ЕГЭ,Механика,Кинематика,Прямолинейное движение,Координата от времени при равномерном движении,,$x=x_{0}+\upsilon_{x}t$,,,"$x$ - конечная координата
$x_{0}$ - начальная координата
$\upsilon_{x}$ - проекция скорости
$t$ - прошедшее время",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.61,ЕГЭ,Механика,Кинематика,Прямолинейное движение,Условие встречи двух тел,,"$$    \begin{cases}
      x_1=x_2; \\
      y_1=y_2
       
    \end{cases}
$$",,,"$x_1$ - координата $x$ первого тела в момент встречи
$x_2$ - координата $x$ второго тела в момент встречи
$y_1$ - координата $y$ первого тела в момент встречи
$y_2$ - координата $y$ второго тела в момент встречи",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
kin.62,ЕГЭ,Механика,Кинематика,Прямолинейное движение,Относительная скорость при движении в одном направлении,,$\upsilon_{отн}=\upsilon_{1}-\upsilon_{2}$,,,"$\upsilon_{отн}$ - относительная скорость движения первого тела относительно второго
$\upsilon_{1}$ - скорость первого тела относительно Земли
$\upsilon_{2}$ - скорость второго тела относительно Земли",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
